byz,rounds
0.02,12
0.02,13
0.02,12
0.02,12
0.02,11
0.02,16
0.02,11
0.02,11
0.02,11
0.02,10
0.02,10
0.02,12
0.02,13
0.02,12
0.02,12
0.02,11
0.02,13
0.02,10
0.02,11
0.02,11
0.02,13
0.02,12
0.02,13
0.02,13
0.02,11
0.02,12
0.02,12
0.02,11
0.02,10
0.02,13
0.02,13
0.02,11
0.02,12
0.02,11
0.02,10
0.02,11
0.02,11
0.02,11
0.02,12
0.02,14
0.02,13
0.02,11
0.02,11
0.02,12
0.02,12
0.02,11
0.02,12
0.02,11
0.02,12
0.02,13
0.02,13
0.02,11
0.02,12
0.02,11
0.02,13
0.02,12
0.02,13
0.02,13
0.02,13
0.02,12
0.02,10
0.02,11
0.02,11
0.02,12
0.02,12
0.02,12
0.02,11
0.02,12
0.02,13
0.02,12
0.02,13
0.02,13
0.02,11
0.02,12
0.02,15
0.02,13
0.02,10
0.02,11
0.02,11
0.02,12
0.02,12
0.02,14
0.02,13
0.02,11
0.02,14
0.02,11
0.02,13
0.02,11
0.02,12
0.02,12
0.02,11
0.02,11
0.02,12
0.02,11
0.02,10
0.02,11
0.02,14
0.02,10
0.02,11
0.02,10
0.02,12
0.02,11
0.02,11
0.02,13
0.02,12
0.02,12
0.02,11
0.02,12
0.02,13
0.02,12
0.02,11
0.02,11
0.02,12
0.02,12
0.02,12
0.02,14
0.02,12
0.02,12
0.02,11
0.02,10
0.02,13
0.02,12
0.02,10
0.02,12
0.02,11
0.02,10
0.02,11
0.02,15
0.02,12
0.02,11
0.02,12
0.02,11
0.02,12
0.02,11
0.02,11
0.02,13
0.02,13
0.02,13
0.02,11
0.02,13
0.02,12
0.02,11
0.02,14
0.02,10
0.02,11
0.02,11
0.02,11
0.02,13
0.02,12
0.02,11
0.02,11
0.02,11
0.02,11
0.02,14
0.02,12
0.02,11
0.02,11
0.02,12
0.02,13
0.02,11
0.02,13
0.02,12
0.02,14
0.02,10
0.02,10
0.02,12
0.02,11
0.02,13
0.02,14
0.02,11
0.02,11
0.02,10
0.02,12
0.02,11
0.02,10
0.02,14
0.02,11
0.02,11
0.02,11
0.02,11
0.02,12
0.02,14
0.02,11
0.02,12
0.02,10
0.02,10
0.02,12
0.02,17
0.02,15
0.02,12
0.02,13
0.02,11
0.02,12
0.02,14
0.02,12
0.02,12
0.02,15
0.02,13
0.02,11
0.02,12
0.02,12
0.02,11
0.02,12
0.02,11
0.02,13
0.02,10
0.02,11
0.02,11
0.02,13
0.02,11
0.02,11
0.02,12
0.02,11
0.02,11
0.02,11
0.02,15
0.02,11
0.02,13
0.02,11
0.02,12
0.02,12
0.02,10
0.02,12
0.02,12
0.02,13
0.02,12
0.02,14
0.02,11
0.02,11
0.02,12
0.02,11
0.02,10
0.02,11
0.02,12
0.02,12
0.02,14
0.02,11
0.02,14
0.02,11
0.02,11
0.02,11
0.02,13
0.02,13
0.02,12
0.02,14
0.02,13
0.02,12
0.02,11
0.02,13
0.02,11
0.02,11
0.02,12
0.02,11
0.02,10
0.02,12
0.02,11
0.02,10
0.02,12
0.02,13
0.02,11
0.02,13
0.02,13
0.02,11
0.02,15
0.02,12
0.02,13
0.02,11
0.02,12
0.02,11
0.02,10
0.02,10
0.02,12
0.02,14
0.02,10
0.02,11
0.02,11
0.02,12
0.02,11
0.02,12
0.02,11
0.02,12
0.02,12
0.02,11
0.02,14
0.02,13
0.02,11
0.02,10
0.02,11
0.02,12
0.02,12
0.02,12
0.02,12
0.02,12
0.02,12
0.02,12
0.02,11
0.02,11
0.02,11
0.02,10
0.02,12
0.02,12
0.02,11
0.02,11
0.02,13
0.02,10
0.02,11
0.02,11
0.02,12
0.02,11
0.02,15
0.02,12
0.02,14
0.02,11
0.02,11
0.02,12
0.02,12
0.02,12
0.02,13
0.02,11
0.02,11
0.02,12
0.02,11
0.02,11
0.02,11
0.02,11
0.02,13
0.02,11
0.02,15
0.02,11
0.02,13
0.02,12
0.02,12
0.02,13
0.02,14
0.02,11
0.02,12
0.02,12
0.02,13
0.02,12
0.02,12
0.02,13
0.02,11
0.02,12
0.02,11
0.02,11
0.02,12
0.02,10
0.02,13
0.02,13
0.02,11
0.02,11
0.02,11
0.02,11
0.02,12
0.02,12
0.02,11
0.02,12
0.02,11
0.02,13
0.02,12
0.02,12
0.02,15
0.02,11
0.02,13
0.02,11
0.02,13
0.02,10
0.02,12
0.02,13
0.02,11
0.02,11
0.02,11
0.02,11
0.02,13
0.02,11
0.02,10
0.02,12
0.02,16
0.02,12
0.02,11
0.02,11
0.02,12
0.02,11
0.02,14
0.02,13
0.02,12
0.02,11
0.02,13
0.02,11
0.02,11
0.02,11
0.02,11
0.02,11
0.02,12
0.02,11
0.02,11
0.02,12
0.02,11
0.02,11
0.02,12
0.02,12
0.02,11
0.02,15
0.02,11
0.02,13
0.02,13
0.02,12
0.02,11
0.02,12
0.02,12
0.02,12
0.02,13
0.02,12
0.02,10
0.02,12
0.02,12
0.02,12
0.02,12
0.02,14
0.02,11
0.02,13
0.02,11
0.02,15
0.02,10
0.02,12
0.02,11
0.02,11
0.02,11
0.02,12
0.02,11
0.02,13
0.02,11
0.02,12
0.02,13
0.02,11
0.02,11
0.02,13
0.02,11
0.02,11
0.02,11
0.02,12
0.02,13
0.02,10
0.02,10
0.02,11
0.02,13
0.02,11
0.02,11
0.02,12
0.02,11
0.02,11
0.02,12
0.02,14
0.02,10
0.02,10
0.02,14
0.02,11
0.02,11
0.02,12
0.02,11
0.02,12
0.02,14
0.02,13
0.02,11
0.02,12
0.02,12
0.02,11
0.02,11
0.02,12
0.02,10
0.02,13
0.02,13
0.02,11
0.02,12
0.02,11
0.02,11
0.02,13
0.02,12
0.02,14
0.02,13
0.02,11
0.02,12
0.02,12
0.02,10
0.02,11
0.02,13
0.02,12
0.02,13
0.02,13
0.02,12
0.02,12
0.02,13
0.02,11
0.02,12
0.02,10
0.02,13
0.02,13
0.02,11
0.02,12
0.02,12
0.02,11
0.02,12
0.02,13
